gene,clusters_using_gene,evidence_reused,source_evidence_file,notes
AIF1,3; 4,True,results/phase7/genes/AIF1.md,The same verified gene-level evidence is reused; each cluster retains its own marker statistics and later interpretation.
AQP3,2,False,results/phase7/genes/AQP3.md,No cross-cluster evidence reuse.
C6orf48,7,False,results/phase7/genes/C6orf48.md,No cross-cluster evidence reuse.
CCL4,5,False,results/phase7/genes/CCL4.md,No cross-cluster evidence reuse.
CCL5,0; 6,True,results/phase7/genes/CCL5.md,The same verified gene-level evidence is reused; each cluster retains its own marker statistics and later interpretation.
CCR7,7,False,results/phase7/genes/CCR7.md,No cross-cluster evidence reuse.
CD14,3,False,results/phase7/genes/CD14.md,No cross-cluster evidence reuse.
CD2,2,False,results/phase7/genes/CD2.md,No cross-cluster evidence reuse.
CD3D,2; 6; 7,True,results/phase7/genes/CD3D.md,The same verified gene-level evidence is reused; each cluster retains its own marker statistics and later interpretation.
CD3E,2; 7,True,results/phase7/genes/CD3E.md,The same verified gene-level evidence is reused; each cluster retains its own marker statistics and later interpretation.
CD7,7,False,results/phase7/genes/CD7.md,No cross-cluster evidence reuse.
CD79A,1,False,results/phase7/genes/CD79A.md,No cross-cluster evidence reuse.
CD79B,1,False,results/phase7/genes/CD79B.md,No cross-cluster evidence reuse.
CD8A,0,False,results/phase7/genes/CD8A.md,No cross-cluster evidence reuse.
CD9,8,False,results/phase7/genes/CD9.md,No cross-cluster evidence reuse.
CDKN1C,4,False,results/phase7/genes/CDKN1C.md,No cross-cluster evidence reuse.
CFD,4,False,results/phase7/genes/CFD.md,No cross-cluster evidence reuse.
CST3,3,False,results/phase7/genes/CST3.md,No cross-cluster evidence reuse.
CST7,0; 5,True,results/phase7/genes/CST7.md,The same verified gene-level evidence is reused; each cluster retains its own marker statistics and later interpretation.
CTSW,0; 5,True,results/phase7/genes/CTSW.md,The same verified gene-level evidence is reused; each cluster retains its own marker statistics and later interpretation.
FCER1G,4,False,results/phase7/genes/FCER1G.md,No cross-cluster evidence reuse.
FCER2,1,False,results/phase7/genes/FCER2.md,No cross-cluster evidence reuse.
FCGR3A,4,False,results/phase7/genes/FCGR3A.md,No cross-cluster evidence reuse.
FCN1,3,False,results/phase7/genes/FCN1.md,No cross-cluster evidence reuse.
FGFBP2,5,False,results/phase7/genes/FGFBP2.md,No cross-cluster evidence reuse.
GNG11,8,False,results/phase7/genes/GNG11.md,No cross-cluster evidence reuse.
GNLY,5,False,results/phase7/genes/GNLY.md,No cross-cluster evidence reuse.
GP9,8,False,results/phase7/genes/GP9.md,No cross-cluster evidence reuse.
GZMA,0; 5,True,results/phase7/genes/GZMA.md,The same verified gene-level evidence is reused; each cluster retains its own marker statistics and later interpretation.
