gene,cluster,cell_type,representative_rank,marker_score,avg_log2FC,pct_in,pct_out,official_gene_name,immune_function,immune_cell_contexts,biological_role,function_tags,pathway_tags,disease_context_tags,publication_count,evidence_grade,grade_explanation,plain_language_note,interpretation_status
NKG7,0,Cytotoxic CD8 T cells,1,75.94105549891968,5.149965,0.9597069597069596,0.2224101479915433,natural killer cell granule protein 7,Granule-associated protein studied as a regulator of cytotoxic granule release in NK and T cells.,NK cells; cytotoxic CD8 T cells; selected activated CD4 T-cell states,"Experimental studies report effects on granule exocytosis, target-cell killing, and downstream inflammation.",cytotoxic granules; granule exocytosis; target-cell killing,lymphocyte degranulation; inflammatory signaling,cancer; parasitic infection; inflammation,3,B,Multiple human studies: 2 primary human studies; 0 review(s) provide context but do not determine the grade.,NKG7 helps organize how killer immune cells release packages containing cell-killing proteins.,Deferred to Notebook 08
CCL5,0,Cytotoxic CD8 T cells,2,75.23193307223009,5.365429,0.945054945054945,0.2439746300211416,CCL5,The selected PubMed collection discusses CCL5 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for CCL5, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
GZMA,0,Cytotoxic CD8 T cells,3,53.02748046765637,4.028471,0.7875457875457875,0.1293868921775898,granzyme A,Cytotoxic-lymphocyte serine protease with reported inflammatory and target-cell death activities that differ from granzyme B.,NK cells; cytotoxic CD8 T cells,Granule-released protease; selected studies report context-dependent substrate cleavage and inflammatory or cell-death outcomes.,cytotoxic granules; serine protease; target-cell response,gasdermin-mediated pyroptosis; lymphocyte cytotoxicity,cancer; inflammation,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"GZMA makes granzyme A, another enzyme carried by killer immune cells; it does not always act in the same way as granzyme B.",Deferred to Notebook 08
CST7,0,Cytotoxic CD8 T cells,4,52.48407455884272,4.0548916,0.7765567765567766,0.1293868921775898,cystatin F,Immune-enriched cysteine-protease inhibitor that can regulate cathepsins involved in cytotoxic-cell effector pathways.,NK cells; cytotoxic T cells; myeloid cells and microglia in context-dependent states,"Reported to inhibit cathepsin C and other proteases; direction and consequence depend on cell type, processing, and tissue context.",protease inhibition; cytotoxic-cell regulation,cathepsin regulation; immune effector protease processing,glioblastoma; viral neuroinflammation,3,B,Multiple human studies: 2 primary human studies; 0 review(s) provide context but do not determine the grade.,"CST7 makes cystatin F, a protein that can act like a brake on enzymes used by several immune cells.",Deferred to Notebook 08
GZMK,0,Cytotoxic CD8 T cells,5,51.02674832776526,4.834554,0.5860805860805861,0.0583509513742071,GZMK,The selected PubMed collection discusses GZMK in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for GZMK, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
CTSW,0,Cytotoxic CD8 T cells,6,39.11628802918632,3.3651931,0.8205128205128205,0.2393234672304439,cathepsin W,Lysosomal cysteine protease enriched in NK cells and cytotoxic T cells; its indispensable substrates and mechanism remain uncertain.,NK cells; cytotoxic CD8 T cells,"Human cell studies report cytotoxic-lymphocyte expression and secretion during target contact, while knockout evidence questions whether it is essential for killing.",lysosomal protease; cytotoxic lymphocyte marker,cysteine-protease regulation; lymphocyte cytotoxicity,immune pathology (limited evidence),3,C,Laboratory or animal evidence predominates (2 selected experimental study/studies); repeated human evidence is insufficient.,"CTSW makes cathepsin W, an enzyme common in killer immune cells, but scientists have not fully settled exactly what it must do.",Deferred to Notebook 08
CD8A,0,Cytotoxic CD8 T cells,7,32.56513240892441,3.730852,0.5091575091575091,0.0727272727272727,CD8A,The selected PubMed collection discusses CD8A in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for CD8A, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
LYAR,0,Cytotoxic CD8 T cells,8,28.00635920583293,3.0814345,0.5897435897435898,0.135306553911205,LYAR,The selected PubMed collection discusses LYAR in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,A,Repeated human evidence: 3 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for LYAR, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
GZMH,0,Cytotoxic CD8 T cells,9,26.998482595229365,3.8941712,0.4175824175824176,0.0634249471458773,GZMH,The selected PubMed collection discusses GZMH in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 0 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for GZMH, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
KLRG1,0,Cytotoxic CD8 T cells,10,24.94361323690263,3.3307934,0.4505494505494505,0.0761099365750528,KLRG1,The selected PubMed collection discusses KLRG1 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for KLRG1, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
CD79A,1,B cells,1,136.18487484415002,7.7044845,0.9252873563218392,0.0414847161572052,CD79A,The selected PubMed collection discusses CD79A in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,D,Selected evidence is computational and lacks stronger primary experimental support in this collection.,"Selected PubMed records provide context for CD79A, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
MS4A1,1,B cells,2,100.29110796300758,6.358171,0.8419540229885057,0.0532751091703056,MS4A1,The selected PubMed collection discusses MS4A1 in publication-specific biological or immune contexts; claims are limited to the verified article summaries below.,Cell contexts vary across the selected publications; no cell type is treated as unique.,No single cross-publication mechanism is asserted; publication-specific evidence is listed below.,gene-specific literature evidence,publication-specific; no combined pathway inference,publication contexts only,3,B,Multiple human studies: 2 primary human studies; 1 review(s) provide context but do not determine the grade.,"Selected PubMed records provide context for MS4A1, but they do not by themselves establish what the gene does in this PBMC3k cluster.",Deferred to Notebook 08
