cluster,pct_in,marker_score,cell_type,gene,pct_out,avg_log2FC,specificity_delta,adjusted_p_value,representative_rank
0,0.9597069597069596,75.94105549891968,Cytotoxic CD8 T cells,NKG7,0.2224101479915433,5.149965,0.7372968117154164,2.5243306061684385e-104,1
0,0.945054945054945,75.23193307223009,Cytotoxic CD8 T cells,CCL5,0.2439746300211416,5.365429,0.7010803150338034,2.4475792244105465e-111,2
0,0.7875457875457875,53.02748046765637,Cytotoxic CD8 T cells,GZMA,0.1293868921775898,4.028471,0.6581588953681977,5.997373115106311e-68,3
0,0.7765567765567766,52.48407455884272,Cytotoxic CD8 T cells,CST7,0.1293868921775898,4.0548916,0.6471698843791868,1.8017745973690625e-67,4
0,0.5860805860805861,51.02674832776526,Cytotoxic CD8 T cells,GZMK,0.0583509513742071,4.834554,0.527729634706379,1.2092011545391433e-45,5
1,0.9252873563218392,136.18487484415002,B cells,CD79A,0.0414847161572052,7.7044845,0.8838026401646341,1.2230912158469628e-164,1
1,0.8419540229885057,100.29110796300758,B cells,MS4A1,0.0532751091703056,6.358171,0.7886789138182001,2.3588912099907053e-133,2
1,0.9051724137931034,83.55192862520704,B cells,CD79B,0.1419213973799126,5.473424,0.7632510164131908,1.8347365153257234e-149,3
1,0.617816091954023,83.18081201089194,B cells,TCL1A,0.0213973799126637,6.973357,0.5964187120413593,9.948570998135712e-72,4
1,0.8850574712643678,81.76646359624556,B cells,HLA-DQA1,0.1170305676855895,5.323151,0.7680269035787783,1.8413069908330876e-136,5
2,0.9335548172757476,24.908119956895483,IL7R+ memory/helper T cells,IL32,0.4395874263261297,2.5212312,0.4939673909496179,7.213826337376812e-91,1
2,0.7641196013289037,22.72265682128987,IL7R+ memory/helper T cells,IL7R,0.2956777996070727,2.4253447,0.468441801721831,1.521021870493912e-74,2
2,0.9069767441860463,22.452292749074783,IL7R+ memory/helper T cells,CD3D,0.4056974459724951,2.2394993,0.5012792982135512,1.6476302226446915e-73,3
2,0.9800664451827242,17.46941342012545,IL7R+ memory/helper T cells,LTB,0.6222986247544204,2.4414456,0.3577678204283038,3.1793004881151947e-104,4
2,0.8239202657807309,17.307203717676504,IL7R+ memory/helper T cells,CD3E,0.3855599214145383,1.9740841,0.4383603443661925,8.421711015275065e-60,5
3,0.9422310756972112,121.00013365112584,Classical monocytes,S100A8,0.1203183520599251,7.360887,0.8219127236372861,7.62162301279336e-225,1
3,0.9083665338645418,120.37660500134297,Classical monocytes,LGALS2,0.0505617977528089,7.0165505,0.8578047361117329,2.403731984630923e-211,2
