,precision,recall,f1-score,support
Activated/transitional T cells,0.6363636363636364,0.5384615384615384,0.5833333333333334,13.0
B cells,1.0,1.0,1.0,35.0
CD16+ non-classical monocytes,0.9444444444444444,1.0,0.9714285714285714,17.0
Classical monocytes,1.0,0.98,0.98989898989899,50.0
Cytotoxic CD8 T cells,0.8518518518518519,0.8214285714285714,0.8363636363636363,28.0
IL7R+ memory/helper T cells,0.8333333333333334,0.9166666666666666,0.873015873015873,60.0
NK cells,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
Naive/resting T cells,0.8809523809523809,0.8222222222222222,0.8505747126436781,45.0
Platelets,1.0,1.0,1.0,1.0
accuracy,0.9015151515151515,0.9015151515151515,0.9015151515151515,0.9015151515151515
macro avg,0.8978087755865533,0.8902347035680369,0.8931053833352683,264.0
weighted avg,0.9008446659961811,0.9015151515151515,0.9002559273131374,264.0
