gene,training_f_score
TYROBP,1301.3110001503335
CST3,1289.7683527258362
S100A9,842.1152978208526
LGALS2,838.152084099445
FCER1G,823.624128128284
AIF1,807.6189516723757
LST1,806.0217580722062
CD79A,802.0911388005799
LYZ,755.2587366215062
HLA-DRA,734.2227190051354
NKG7,710.5994933649212
FTL,703.87558440562
S100A8,695.5049510276486
GNG11,678.4235731234817
ITGA2B,669.1008486311215
PF4,634.8723022805283
GP9,616.0314128742173
FTH1,586.3006081466096
FCN1,558.8002218494344
GZMB,526.0534834269293
SPARC,478.1554299690518
FCGR3A,460.47029143435236
LGALS1,457.7003906672223
HLA-DRB1,453.52847946516016
SDPR,452.42326475891815
TYMP,450.667242254743
PPBP,429.62229238195204
MS4A1,428.0423556483618
CFD,418.866443370579
CST7,413.71070093971764
PRF1,410.61076614803886
GZMA,395.5991432405401
FGFBP2,386.9545403578232
MALAT1,376.7410910659165
AP001189.4,372.32010350131225
CD79B,364.1722902691985
TUBB1,355.04611848064275
CD74,344.6852336156013
S100A4,343.14740245004043
CD3D,336.40102453485474
CD68,332.60235778537856
RPS27,330.33128923805845
HLA-DPA1,327.2766257342998
CLU,327.0660532448717
CCL5,324.43893418012584
SERPINA1,316.0972911825493
IL32,303.00128763388585
HLA-DQA1,302.4181928982314
S100A11,302.41092196793437
RPS6,297.14634324329603
HLA-DPB1,281.763867520533
CTSS,281.63239099359447
GNLY,280.51318497330675
PTCRA,279.07535683557677
RPL13,277.1933487272936
HLA-DRB5,275.6269417122938
SPI1,270.13146749920884
IFITM3,269.3022934861207
RPL32,258.3707272987554
COTL1,258.0403872819097
RPL13A,253.17421677637165
RPS12,250.34048093996853
CTSW,247.96014252549585
IFI30,246.77711296422717
LTB,246.75550099240849
SAT1,244.94694964412628
HLA-DQB1,244.4402770665745
CD9,238.5689254960387
S100A6,237.55168535336543
TCL1A,236.60609406437004
RPL3,228.12014873185603
RPS27A,226.3209638747664
RPL23A,226.02648555850035
CD14,223.68016689344046
MS4A6A,222.4618602046125
PSAP,221.9692886166444
TMEM40,221.31284527485937
GSTP1,220.6312789423148
TREML1,218.93825795342187
GRN,218.16897630607585
NPC2,216.9645842393065
