gene,mean_log_normalized_expression,fraction_of_cells_expressing
MALAT1,6.219554,1.0
TMSB4X,4.9802737,1.0
RPS27,4.914678,1.0
B2M,4.899967,1.0
EEF1A1,4.672602,1.0
RPL41,4.578607,0.9997601343247782
RPL10,4.5769453,1.0
RPL21,4.54326,0.9995202686495562
RPL34,4.5351496,0.9995202686495562
RPL13,4.510355,1.0
RPL13A,4.430571,0.9997601343247782
RPS18,4.3477855,1.0
RPLP1,4.3337245,0.9997601343247782
RPL39,4.305124,0.9997601343247782
RPL32,4.2843447,0.9997601343247782
RPS29,4.264424,0.9997601343247782
RPS2,4.2274456,0.9997601343247782
RPS14,4.21823,1.0
RPLP2,4.195109,0.9995202686495562
RPS12,4.187872,0.9992804029743344
RPS6,4.1634645,0.9995202686495562
RPS15A,4.135483,0.9997601343247782
RPS27A,4.11233,0.9992804029743344
MT-CO1,4.085564,0.9985608059486687
RPS3A,4.07918,1.0
RPL18A,4.038542,0.9992804029743344
RPS19,4.0173926,0.9997601343247782
RPL11,4.0079684,0.9985608059486687
RPS28,4.0037723,0.9995202686495562
TMSB10,3.9717438,0.9995202686495562
ACTB,3.9566066,0.9997601343247782
RPL3,3.9517722,0.9988006716238906
RPL28,3.936528,0.9990405372991125
RPL26,3.933701,0.9990405372991125
RPL27A,3.8775308,0.9992804029743344
HLA-B,3.8623085,0.9995202686495562
RPL7,3.8581724,0.9997601343247782
RPS3,3.856567,0.9988006716238906
RPL19,3.8520958,0.9985608059486687
RPL23A,3.8514655,0.9988006716238906
RPS15,3.8093798,0.9995202686495562
RPS23,3.8035471,0.9988006716238906
MT-CO3,3.7883842,0.9988006716238906
RPL35A,3.7207398,0.9988006716238906
RPS8,3.6755686,0.9978412089230031
TPT1,3.67548,0.9990405372991125
RPS13,3.6608834,0.9988006716238906
MT-CO2,3.6578507,0.998081074598225
RPL30,3.6559963,0.9973614775725593
RPS25,3.6513512,0.9973614775725593
RPL9,3.645093,0.9983209402734469
RPL12,3.6378293,0.9973614775725593
RPL31,3.6299171,0.9968817462221156
RPS4X,3.6068256,0.9976013432477813
RPL15,3.5977461,0.9988006716238906
RPL37,3.593862,0.998081074598225
RPL36,3.5485668,0.9983209402734469
RPS24,3.5389454,0.9992804029743344
RPL8,3.5304182,0.9988006716238906
RPL37A,3.4800193,0.9988006716238906
FTL,3.452341,0.9954425521707844
RPS9,3.4391692,0.9990405372991125
RPL35,3.4222064,0.9983209402734469
PTMA,3.4210763,0.9985608059486687
RPS16,3.4207976,0.9976013432477813
RPL6,3.3568125,0.99616214919645
RPL18,3.3567302,0.9973614775725593
MT-ND4,3.3304362,0.9966418805468937
RPL10A,3.3045182,0.9935236267690094
RPL29,3.3041475,0.9978412089230031
RPS17,3.2974162,0.994243223794675
RPS20,3.293287,0.9930438954185656
RPS7,3.2857814,0.9932837610937875
FAU,3.258142,0.9976013432477813
HLA-C,3.2461078,0.990405372991125
FTH1,3.2329931,0.9913648356920125
RPL14,3.2068264,0.9940033581194531
RPS5,3.1950707,0.9906452386663468
RPL38,3.1914673,0.9947229551451188
MT-ND2,3.1832883,0.9949628208203406
RPL27,3.1678755,0.9964020148716719
UBA52,3.1187172,0.9956824178460062
MT-ND3,3.1143043,0.9908851043415687
RPL5,3.0345654,0.9848884624610218
RPS21,3.0242884,0.9892060446150156
HLA-A,3.0228205,0.9870472535380187
RPL7A,2.9983096,0.990405372991125
GNB2L1,2.991225,0.9906452386663468
EIF1,2.9771478,0.9966418805468937
RPS10,2.9720638,0.9865675221875749
RPL22,2.916468,0.9877668505636843
MT-ATP6,2.9109504,0.9877668505636843
RPSA,2.892426,0.9668985368193811
RPS11,2.8849316,0.9901655073159031
RPL4,2.8829596,0.9856080594866875
CD52,2.8758183,0.9760134324778125
MT-CYB,2.8168411,0.9836891340849124
JUNB,2.7730434,0.9525065963060686
FOS,2.7528772,0.9297193571599904
RPLP0,2.7523894,0.9704965219477093
RPL24,2.7503693,0.9832094027344687
H3F3B,2.7426114,0.9812904773326937
PFN1,2.694479,0.9784120892300312
NACA,2.6761413,0.9829695370592468
MT-ND1,2.6669605,0.97313504437515
RPL36A,2.655829,0.9762532981530343
RPL23,2.623838,0.9781722235548093
CD74,2.5960052,0.9141280882705685
PABPC1,2.5922258,0.9736147757255936
PFDN5,2.5699835,0.9776924922043656
EEF1D,2.544227,0.9805708803070281
ATP5E,2.4670565,0.9707363876229311
HNRNPA1,2.4580142,0.9676181338450468
EEF2,2.4239743,0.9546653873830655
SERF2,2.39174,0.9692971935715999
S100A4,2.3629243,0.8462461021827776
MT-ND5,2.3579612,0.9609018949388343
CFL1,2.3325696,0.9546653873830655
S100A6,2.3306043,0.893979371551931
BTG1,2.3260722,0.9510674022547373
H3F3A,2.2922604,0.9433917006476373
OAZ1,2.2773683,0.9424322379467498
DUSP1,2.2744029,0.8903813864236028
EEF1B2,2.256831,0.9282801631086591
ACTG1,2.2537417,0.9256416406812186
BTF3,2.2519639,0.9549052530582873
RPL17,2.2223194,0.9433917006476373
COX4I1,2.1854494,0.9561045814343967
CYBA,2.183596,0.9134084912449029
SH3BGRL3,2.179086,0.9213240585272248
DDX5,2.178192,0.9491484768529623
UQCRB,2.1287384,0.9359558647157592
HLA-E,2.1233184,0.9301990885104342
COX7C,2.1095388,0.936435596066203
TOMM7,2.100888,0.9405133125449748
JUN,2.0714147,0.8486447589349964
SLC25A6,2.0490816,0.922763252578556
NPM1,2.041099,0.9102902374670184
GLTSCR2,2.0269878,0.9086111777404653
CORO1A,2.025801,0.920844327176781
GAPDH,2.0250194,0.8858239385943871
MYL12A,2.0193937,0.9134084912449029
ARHGDIB,2.0044985,0.9232429839289997
MYL6,1.9906971,0.9114895658431279
ATP5L,1.9740922,0.9232429839289997
RPS4Y1,1.9553112,0.9057327896378028
UBC,1.951618,0.903573998560806
LTB,1.9475265,0.7793235787958743
TMA7,1.8937823,0.9102902374670184
HLA-DRA,1.8779705,0.6826577116814584
ITM2B,1.8394191,0.8827056848165028
ATP5G2,1.8326423,0.8951786999280403
YBX1,1.8324753,0.8949388342528184
VIM,1.8288856,0.8124250419764931
LAPTM5,1.7892004,0.882225953466059
S100A9,1.7586249,0.6807387862796834
COMMD6,1.7585675,0.8795874310386184
RPL36AL,1.745651,0.8776685056368434
EIF3E,1.7352716,0.8548812664907651
CD37,1.7317911,0.8481650275845527
LYZ,1.7145703,0.6272487407052051
TXNIP,1.7127525,0.8476852962341089
HINT1,1.7109411,0.8663948189014152
ARPC2,1.7033792,0.857279923242984
AC090498.1,1.6584893,0.8505636843367714
SRSF5,1.6434041,0.8548812664907651
SRP14,1.636385,0.8656752218757496
PPIA,1.6165173,0.8419285200287839
ZFP36L2,1.6146063,0.8076277284720557
SARAF,1.6123089,0.8224994003358119
PPDPF,1.5949464,0.835931878148237
UBB,1.591279,0.8153034300791556
FXYD5,1.5908277,0.8308946989685776
PTPRC,1.5781095,0.8248980570880307
PNRC1,1.5721593,0.834012952746462
OST4,1.5692836,0.839769728951787
S100A8,1.5601279,0.6039817702086832
ARPC3,1.5573775,0.8057088030702806
CCNI,1.5444931,0.8213000719597026
LIMD2,1.5420597,0.8196210122331494
EMP3,1.5039413,0.8059486687455025
CIRBP,1.5017524,0.8198608779083714
HMGB1,1.4971856,0.8165027584552651
ALDOA,1.4793413,0.8061885344207244
SAT1,1.461773,0.6867354281602303
NAP1L1,1.45758,0.7855600863516431
IL32,1.456724,0.6118973374910051
NEAT1,1.4530311,0.673782681698249
HCST,1.4420503,0.7267929959222835
ARPC1B,1.4341551,0.7694890861117774
ZFP36,1.4289136,0.7198368913408492
HLA-DRB1,1.4205555,0.5823938594387144
SUMO2,1.4164681,0.8093067881986088
CALM2,1.4149504,0.7620532501798992
SNRPD2,1.4139161,0.7915567282321899
GMFG,1.4133267,0.7872391460781962
COTL1,1.4090593,0.6941712640921084
CTSS,1.4089582,0.6214919644998801
HNRNPA2B1,1.4083319,0.7874790117534181
KLF6,1.4067883,0.7265531302470617
HSPA8,1.4030391,0.7440633245382586
LDHB,1.3896999,0.7061645478532022
EIF3K,1.3852475,0.7790837131206524
CALM1,1.385191,0.7531782201966899
UQCR11,1.3848342,0.777884384744543
TSC22D3,1.370793,0.7255936675461742
CHCHD2,1.3673917,0.783641160949868
CDC42,1.3671745,0.7531782201966899
C14orf2,1.361983,0.7491005037179179
TRAC,1.3602372,0.6061405612856801
IER2,1.341028,0.7152794435116335
GPSM3,1.3371061,0.7790837131206524
CD48,1.3324422,0.7637323099064524
COX6B1,1.3303127,0.7601343247781243
PSME1,1.3289303,0.752938354521468
RPS26,1.3214986,0.7680498920604462
EIF3F,1.319771,0.7601343247781243
HLA-DPB1,1.3154942,0.5895898296953705
SRGN,1.3131058,0.6380426960901895
CST3,1.308658,0.5387383065483329
EIF4A2,1.305247,0.7455025185895898
EIF3H,1.295249,0.7541376828975773
SKP1,1.2939389,0.7591748620772367
S100A10,1.2904972,0.6896138162628928
TYROBP,1.2857381,0.480690813144639
TCEB2,1.2839288,0.7318301751019429
ITGB2,1.2800524,0.7006476373230991
EDF1,1.2703221,0.7455025185895898
ATP6V1G1,1.2693981,0.7579755337011274
NBEAL1,1.2675419,0.7378268169824898
MYL12B,1.2535803,0.7347085632046054
HNRNPDL,1.2437596,0.735668025905493
COX6C,1.2351402,0.7339889661789398
KLF2,1.2324097,0.6999280402974334
HLA-DPA1,1.2149132,0.550011993283761
ZFAS1,1.2110248,0.7131206524346366
SUB1,1.2100567,0.716238906212521
EVL,1.2061218,0.6713840249460302
COX7A2,1.2028357,0.7234348764691773
EIF3L,1.1902307,0.7052050851523147
CXCR4,1.1742558,0.6414008155432958
RBM3,1.1742234,0.7013672343487647
CD44,1.1701713,0.6876948908611178
CD3D,1.1689957,0.5756776205325018
UBL5,1.1689099,0.7128807867594147
HNRNPK,1.1652169,0.7059246821779803
HSP90AA1,1.1630763,0.6879347565363396
SERP1,1.1571989,0.692971935715999
NDUFA4,1.1550143,0.6975293835452147
SSR2,1.153442,0.7064044135284241
UBE2D3,1.148615,0.6982489805708804
PSAP,1.1482126,0.5922283521228112
LSP1,1.1428454,0.683377308707124
CNBP,1.1422694,0.7061645478532022
VAMP2,1.13521,0.6888942192372272
RAC2,1.1345989,0.6766610698009115
APRT,1.1322277,0.6912928759894459
HMGN2,1.1305655,0.6797793235787959
ATP5I,1.1260076,0.6802590549292397
GPX1,1.1235013,0.5641640681218517
RHOA,1.1213853,0.6687455025185896
UQCRH,1.1163472,0.6764212041256896
LGALS1,1.1121908,0.48812664907651715
TRBC2,1.1103326,0.5653633964979612
CLIC1,1.1066962,0.6310865915087551
CD69,1.1065961,0.596545934276805
SELL,1.1045067,0.6380426960901895
SSR4,1.1007378,0.6766610698009115
