original_cluster,resolution,destination_cluster,original_cells,cells_staying_together,cohesion,destination_cluster_cells,exclusivity
5,0.2,4,34,33,0.9705882352941176,33,1.0
7,0.2,0,44,44,1.0,944,0.046610169491525424
10,0.2,0,35,35,1.0,944,0.037076271186440676
5,0.3,1,34,33,0.9705882352941176,33,1.0
7,0.3,0,44,44,1.0,944,0.046610169491525424
10,0.3,0,35,35,1.0,944,0.037076271186440676
5,0.4,5,34,34,1.0,34,1.0
7,0.4,0,44,44,1.0,944,0.046610169491525424
10,0.4,0,35,35,1.0,944,0.037076271186440676
5,0.5,5,34,34,1.0,34,1.0
7,0.5,7,44,44,1.0,44,1.0
10,0.5,10,35,35,1.0,35,1.0
5,0.6,5,34,34,1.0,34,1.0
7,0.6,7,44,44,1.0,537,0.08193668528864059
10,0.6,11,35,35,1.0,36,0.9722222222222222
5,0.7,5,34,34,1.0,34,1.0
7,0.7,9,44,44,1.0,44,1.0
10,0.7,12,35,35,1.0,36,0.9722222222222222
5,0.8,9,34,34,1.0,34,1.0
7,0.8,2,44,44,1.0,370,0.11891891891891893
10,0.8,15,35,35,1.0,36,0.9722222222222222
5,1.0,6,34,34,1.0,34,1.0
7,1.0,11,44,44,1.0,44,1.0
10,1.0,17,35,35,1.0,36,0.9722222222222222
