group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,LYZ,44.805836,6.448457,0.0,0.0,0.9988425925925926,0.5301059001512859
0,S100A8,44.472748,6.2439947,0.0,0.0,0.9976851851851852,0.5010590015128593
0,S100A9,44.438477,6.0188074,0.0,0.0,0.9942129629629629,0.5987897125567322
0,FTL,43.427753,3.1646872,0.0,0.0,1.0,0.9942511346444781
0,CTSS,43.362595,4.403078,0.0,0.0,0.9976851851851852,0.5231467473524962
0,S100A6,43.213013,3.0958445,0.0,0.0,0.9988425925925926,0.8665658093797277
0,TYROBP,43.17771,5.1958413,0.0,0.0,0.9965277777777778,0.345839636913767
0,RP11-1143G9.4,43.08827,6.2720895,0.0,0.0,0.9756944444444444,0.11285930408472013
0,FCN1,42.552757,5.691212,0.0,0.0,0.9652777777777778,0.14735249621785174
0,GPX1,42.527264,3.8545594,0.0,0.0,0.9895833333333334,0.4529500756429652
1,IL32,23.030283,2.4885437,2.318680019280713e-117,3.7935923795451744e-113,0.9685658153241651,0.5622950819672131
1,LTB,22.888086,2.0811577,6.106294378217967e-116,4.995254116101207e-112,0.9960707269155207,0.7491803278688525
1,IL7R,22.627922,2.6299436,2.302008357534366e-113,1.2554386245873253e-109,0.8487229862475442,0.33825136612021856
1,TRAC,19.922653,2.066628,2.5890430450658224e-88,1.058983331508048e-84,0.9666011787819253,0.5560109289617486
1,LDHB,19.622223,1.6491932,9.988924419368434e-86,3.268575848505739e-82,0.9783889980353635,0.6683060109289618
1,ITGB1,16.878988,2.572994,6.423729175225708e-64,1.75164388393113e-60,0.6168958742632613,0.2005464480874317
1,B2M,16.296991,0.38301283,1.0367031619862677e-59,2.1201875541571655e-56,1.0,1.0
1,CD2,16.1466,1.8381095,1.1999640234226598e-58,2.1814012652464598e-55,0.756385068762279,0.33224043715846996
1,CD3D,15.842612,1.6498326,1.5811280710771797e-56,2.5868836370893738e-53,0.9449901768172888,0.5243169398907104
1,HSPA8,15.80386,1.225664,2.926358831306278e-56,4.352559712636547e-53,0.9508840864440079,0.7153005464480874
2,RPL21,13.028923,0.52573645,8.378196524539832e-39,2.2845945556332697e-35,1.0,0.999500873471425
2,RPS6,12.914602,0.68070054,3.723643987571176e-38,8.703219897236002e-35,1.0,0.999500873471425
2,RPS3A,12.523201,0.5171568,5.574093311270483e-36,1.1399717583212045e-32,1.0,1.0
2,RPL31,12.40908,0.7243689,2.3331878866362078e-35,4.241476334806111e-32,1.0,0.9967556775642625
2,RPS12,12.354449,0.61562306,4.609005430242484e-35,6.855267076745208e-32,1.0,0.9992513102071375
2,MALAT1,12.328449,0.5751803,6.366004349506573e-35,8.679516430189754e-32,1.0,1.0
2,RPS14,12.315566,0.5027852,7.468959902868895e-35,9.399973305449076e-32,1.0,1.0
2,RPS27,12.05856,0.58880657,1.748125746740191e-33,2.0429346673154474e-30,1.0,1.0
2,RPL13,12.036022,0.47973958,2.2977057153239952e-33,2.5061842138943925e-30,1.0,1.0
2,RPL32,11.957955,0.5082753,5.899700025103355e-33,6.032812006919749e-30,1.0,0.9997504367357125
3,RPL21,36.78194,0.6499445,3.589664653236763e-296,5.8730503391606675e-292,1.0,0.9993587688361655
3,RPL32,36.71467,0.69187546,4.261091084191233e-295,3.485785561422638e-291,1.0,0.9996793844180827
3,RPL31,36.279552,0.9365106,3.399730983541615e-288,1.8540999540574787e-284,0.9990476190476191,0.9961526130169926
3,RPS6,36.102615,0.8425485,2.0635161159075554e-285,8.440296793090877e-282,1.0,0.9993587688361655
3,RPS14,35.82655,0.6607114,4.2642396975609814e-281,1.3953445138359044e-277,1.0,1.0
3,RPL34,35.120102,0.64638287,3.3261131976094216e-270,9.06975633768129e-267,1.0,0.9993587688361655
3,RPS3A,34.655895,0.62879956,3.641000142846856e-263,8.510057619588201e-260,1.0,1.0
3,RPS15A,34.196133,0.64833796,2.7600031313863767e-256,5.644551404076563e-253,1.0,0.9996793844180827
3,RPL35A,34.084454,0.6978691,1.253699470022712e-254,2.2790863365601765e-251,1.0,0.9983969220904136
3,RPS13,33.81675,0.7193805,1.1189244462771833e-250,1.8306722865540996e-247,1.0,0.9983969220904136
4,CCL5,35.045097,5.793294,4.630566777141117e-269,7.576070304080581e-265,0.9666080843585237,0.22666666666666666
4,IL32,31.618816,3.1616285,2.0356734929885936e-219,1.6652827009393188e-215,0.9876977152899824,0.5525
4,HLA-B,31.47753,1.0272623,1.7637451117136113e-217,9.618877924248798e-214,1.0,0.9994444444444445
4,NKG7,30.982832,4.7717853,9.181885171990964e-211,3.755620582473604e-207,0.9261862917398945,0.26305555555555554
4,HLA-C,29.472729,1.1108136,6.439853997304251e-191,2.107249024997897e-187,1.0,0.9888888888888889
4,B2M,29.403294,0.7249878,4.984228915490904e-190,1.3591161547724447e-186,1.0,1.0
4,CST7,28.53324,4.356423,4.53479772280436e-179,1.0599117934686019e-175,0.8330404217926186,0.11194444444444444
4,HLA-A,28.244183,1.1691389,1.6778765210330638e-175,3.4314672200777446e-172,1.0,0.985
4,GZMA,28.192308,4.2025943,7.265675745545712e-175,1.3208191208097044e-171,0.843585237258348,0.14722222222222223
4,CTSW,27.647818,3.4052813,2.964643645883742e-168,4.850453469030391e-165,0.8717047451669596,0.2436111111111111
5,SEC61B,9.948729,3.888342,2.5542596468724296e-23,4.1790242082479816e-19,1.0,0.5414752116082225
5,LILRA4,9.755443,9.386793,1.7483691436653121e-22,9.26838358711693e-19,0.9705882352941176,0.01765417170495768
5,IRF7,9.726399,6.6845784,2.326839105046411e-22,9.26838358711693e-19,0.9705882352941176,0.10761789600967352
5,PLD4,9.719961,7.2047296,2.478759891429519e-22,9.26838358711693e-19,0.9705882352941176,0.05828295042321645
5,JCHAIN,9.706369,7.75982,2.8324624372339494e-22,9.26838358711693e-19,0.9705882352941176,0.056831922611850064
5,IRF8,9.653791,5.815038,4.737101924501692e-22,1.250042870846563e-18,0.9705882352941176,0.17944377267230954
5,ITM2C,9.641345,6.522268,5.348267279460877e-22,1.250042870846563e-18,0.9705882352941176,0.11076178960096736
5,C12orf75,9.533328,4.905226,1.523206003168613e-21,3.1151466772302096e-18,0.9705882352941176,0.1966142684401451
5,LRRC26,9.45886,11.463264,3.11317643997954e-21,5.659408859389473e-18,0.9411764705882353,0.0014510278113663846
5,ALOX5AP,9.4363985,4.304438,3.858125953855979e-21,6.312279873103768e-18,0.9705882352941176,0.29721886336154774
6,CD79A,38.69825,7.073714,0.0,0.0,0.9867768595041322,0.07744107744107744
6,CD74,38.35512,3.9617932,0.0,0.0,1.0,0.8995510662177328
6,CD79B,38.038918,5.8596215,0.0,0.0,0.9768595041322314,0.14927048260381592
6,MS4A1,36.782867,6.7092767,3.4693425455805843e-296,1.4190478347060984e-292,0.943801652892562,0.05499438832772166
6,CD37,36.10925,2.428689,1.6236729562658156e-285,5.312982647493002e-282,0.9983471074380166,0.8226711560044894
6,HLA-DPA1,35.54174,3.8711457,1.1146716275520387e-276,3.0395237497298176e-273,1.0,0.47362514029180697
6,HLA-DQB1,35.131905,3.8124802,2.196698346803621e-270,5.134311664579149e-267,0.9950413223140496,0.409652076318743
6,HLA-DPB1,35.007492,3.6751838,1.7304211547884455e-268,3.5389275641867195e-265,0.996694214876033,0.5204826038159371
6,HLA-DRA,34.970303,4.006915,6.363993523710628e-268,1.1569033115714398e-264,1.0,0.6287878787878788
6,IGHM,34.681644,6.543638,1.4901069788467107e-263,2.4379640280911035e-260,0.8958677685950414,0.07856341189674523
7,CST3,10.709239,4.5885468,9.211618939257674e-27,8.493117170083595e-23,1.0,0.5338181818181819
7,HLA-DQA1,10.698158,4.400857,1.0382149220809969e-26,8.493117170083595e-23,1.0,0.3558787878787879
7,HLA-DPB1,10.597928,4.0939894,3.046547935072353e-26,1.6614856921906255e-22,1.0,0.5852121212121212
7,HLA-DPA1,10.059193,3.8492367,8.368204299881911e-24,3.422804763759198e-20,1.0,0.5452121212121213
7,HLA-DRA,9.963684,3.8056192,2.19764290725119e-23,7.191127121107344e-20,1.0,0.6792727272727273
7,HLA-DRB1,9.822091,3.622833,9.044796528539388e-23,2.1140273714776132e-19,1.0,0.577939393939394
7,CD74,9.466249,3.3779435,2.9007259150389747e-21,5.273197410661407e-18,1.0,0.9132121212121213
7,HLA-DQB1,9.27964,3.3738928,1.7005162189607283e-20,2.7822145858416476e-17,1.0,0.4892121212121212
7,COTL1,9.141257,2.425962,6.173024876228832e-20,9.1815327272709e-17,1.0,0.6909090909090909
7,VIM,8.99916,2.159236,2.2745067310493245e-19,3.1011003855581663e-16,1.0,0.8104242424242424
8,NKG7,22.56954,6.089623,8.633926694510023e-113,1.4125967464887847e-108,1.0,0.3226941442573511
8,GNLY,22.222591,7.3723693,2.07732332480577e-109,1.6993543458573601e-105,0.9736842105263158,0.18597637597386277
8,CTSW,21.869442,4.6251683,5.077483911930397e-106,2.7690904761031074e-102,0.9894736842105263,0.29781352098517216
8,KLRF1,21.169096,7.3804235,1.8405109032366455e-99,6.864631182653198e-96,0.9157894736842105,0.027393817542096004
8,HOPX,21.162928,5.558996,2.097864183929221e-99,6.864631182653198e-96,0.9421052631578948,0.11083186730334255
8,KLRD1,20.703938,5.576715,3.1919410703935475e-95,7.46047826467269e-92,0.9315789473684211,0.09022367429002262
8,PRF1,20.655476,5.6679153,8.715911799926921e-95,1.782512911982554e-91,0.9157894736842105,0.13068610203568737
8,GZMA,20.18868,4.8026023,1.2310607792989028e-90,2.2379317122343723e-87,0.9421052631578948,0.20884644383010806
8,CST7,19.95001,4.696873,1.4985987839502194e-88,2.451857470420954e-85,0.9368421052631579,0.17567227946720282
8,GZMB,19.362322,6.027633,1.6048651672859472e-83,2.1880999168304483e-80,0.8631578947368421,0.05906006534305102
9,LST1,17.199728,4.786844,2.6678451572840786e-66,3.701225713019569e-62,1.0,0.40054160512063025
9,COTL1,17.169092,3.3883703,4.5244492549594393e-66,3.701225713019569e-62,1.0,0.6861152141802068
9,FCGR3A,17.106518,6.4180083,1.3269746338104516e-65,7.236877327924266e-62,0.9906542056074766,0.08764155588380108
