PC,gene,loading
1,LYZ,0.0820077108584918
1,CSTA,0.08185422483084441
1,TYROBP,0.08141473907592547
1,MNDA,0.08130680302100216
1,FTL,0.08108229235905616
1,FCN1,0.08096408282351286
1,CST3,0.080889803334108
1,LST1,0.08001785284818168
1,CTSS,0.0788195090446711
1,S100A9,0.07819661995580879
2,NKG7,0.10627787254856443
2,GZMA,0.10359618899019038
2,CST7,0.10227605672644466
2,CTSW,0.09641775725754499
2,PRF1,0.09631111290490903
2,HLA-B,0.09303223243496339
2,CCL5,0.0924551013383169
2,KLRD1,0.08936365993805513
2,HOPX,0.08730048012318373
2,FGFBP2,0.08442892305041855
3,CD79A,0.141313540049648
3,CD79B,0.14088493941614177
3,MS4A1,0.13685593536604818
3,IGHM,0.13593901368853428
3,IGHD,0.13250898838516048
3,CD74,0.1270017078271241
3,TCL1A,0.12166753858305025
3,HLA-DPA1,0.1208072345028883
3,LINC00926,0.1205110977302842
3,BANK1,0.11893328889815222
4,NKG7,0.08454201246624396
4,CST7,0.08358241088302507
4,RPS8,-0.08282303025905396
4,FGFBP2,0.08050069573978968
4,HOPX,0.07998176749443284
4,KLRD1,0.0787360973803926
4,RPL4,-0.07862741650945208
4,PRF1,0.07820384245476028
4,GNLY,0.07740875204467432
4,GZMA,0.07675638806903683
5,GZMK,0.157605094242353
5,FCGR3A,-0.1546504661582409
5,KLRF1,-0.1349151327779138
5,GZMB,-0.12283826822242891
5,IL32,0.11818267460527324
5,CLIC3,-0.11468256802253765
5,SPON2,-0.1082753622868522
5,CD52,0.10817397550939177
5,LYAR,0.10703849194253016
5,CCL5,0.10546507074087724
6,JUN,0.2104157866244134
6,FOS,0.2085354315709569
6,DUSP1,0.2070182622489335
6,JUNB,0.2028029436784268
6,CXCR4,0.1361330142339594
6,CD69,0.13197974832641207
6,TSC22D3,0.13140625029712139
6,ZFP36,0.1294945663697453
6,IER2,0.12090263369822385
6,BTG2,0.11947821308318916
7,FCGR3A,0.13297936372649974
7,MS4A7,0.12254363720624284
7,LINC01272,0.11185504271087919
7,GZMB,-0.1104007011352404
7,CD52,0.10356942311485655
7,IFITM3,0.10068849781568011
7,RNASE6,-0.09856875508983193
7,CLIC3,-0.09460563793729837
7,SEC61B,-0.07790433197123621
7,ALOX5AP,-0.07365893047870645
8,MT-ND2,0.1005971684728868
8,MT-CO3,0.09734774063239508
8,MT-ND1,0.09221261640612718
8,RPL14,0.09136641385011086
8,ID2,0.0905791579922593
8,MT-CYB,0.08900430834945203
8,RPL36A,0.08730348793096443
8,SLC25A6,0.08710499866597202
8,DUSP2,0.08601414542003884
8,MT-ND4,0.08536418939268901
9,MT-CYB,0.13749671519166817
9,MT-CO3,0.13704045716853086
9,MT-ND4,0.13100179091734665
9,MT-ND3,0.12492096945785752
9,MT-ATP6,0.12363314280357302
9,MT-CO1,0.10180607042756332
9,MT-ND2,0.09767704655054198
9,RGS1,-0.09141419603575594
9,KLF6,-0.09045593112212218
9,TXNIP,0.08958605626710796
10,CD8B,0.19584443467225424
10,CD8A,0.19369321999062822
10,KLRB1,-0.17711390732297227
10,GZMK,0.12022961697303963
10,KLRF1,-0.10963769286145904
10,GNLY,-0.10540238400559716
10,TRGC2,0.1036143447389359
10,IL7R,-0.10280986895884126
10,ITGB1,-0.10104975794399418
10,ACTB,0.10005106665762069
