leiden,starting_cells,predicted_doublets,median_doublet_score,retained_cells,removed_percent
0,864,8,0.0342789598108747,856,0.9259259259259259
1,509,0,0.05369649805447472,509,0.0
10,35,13,0.21198156682027655,22,37.142857142857146
2,162,0,0.0418049104180491,162,0.0
3,1050,0,0.0435374149659864,1050,0.0
4,569,0,0.0418049104180491,569,0.0
5,34,0,0.045359385903698535,34,0.0
6,605,11,0.019909502262443438,594,1.8181818181818181
7,44,0,0.08413578546172569,44,0.0
8,190,6,0.021122139088679423,184,3.1578947368421053
9,107,0,0.04015544041450777,107,0.0
