group,top_filtered_markers,cells
0,"RP11-1143G9.4, S100A8, LYZ, FTL, S100A9, FTH1, S100A6, CTSS, TYROBP, S100A12, MNDA, GPX1, LST1, MT-CO2, CST3",188
1,"LYZ, CST3, S100A9, FCN1, GPX1, S100A8, S100A6, TYROBP, CSTA, RP11-1143G9.4, CTSS, FTL, LGALS1, MNDA, LST1",735
2,"IL32, LTB, IL7R, TRAC, LDHB, ITGB1, CD2, CD3D, HSPA8, HLA-A, AQP3, GSTK1, CRIP1, ANXA1, TRADD",440
3,"RPL32, RPS6, RPL21, RPL31, RPS14, RPL34, RPS3A, RPS15A, RPL35A, RPS25, RPS13, RPS27, RPS12, RPL3, RPS27A",1075
4,"CCL5, IL32, HLA-B, NKG7, B2M, HLA-C, GZMA, CST7, HLA-A, CTSW, LYAR, GZMK, CD3D, TRGC2, HCST",588
5,"SEC61B, LILRA4, IRF7, PLD4, JCHAIN, IRF8, ITM2C, C12orf75, LRRC26, ALOX5AP, PLAC8, PPP1R14B, CCDC50, MZB1, TXN",34
6,"CD79A, CD74, CD79B, MS4A1, CD37, HLA-DPA1, HLA-DQB1, HLA-DRA, HLA-DPB1, IGHM, HLA-DRB1, IGHD, HLA-DQA1, BANK1, HLA-DMA",592
7,"NKG7, GNLY, CTSW, HOPX, KLRF1, PRF1, KLRD1, GZMA, CST7, GZMB, HLA-C, HLA-B, HLA-A, CD7, B2M",181
8,"RPS14, RPS6, RPS12, RPL32, RPS27, MALAT1, RPL31, RPS15A, RPL30, RPS25, RPS29, RPL11, LDHB, RPS3, RPL3",192
9,"COTL1, LST1, FCGR3A, SAT1, AIF1, PSAP, FTH1, SERPINA1, FCER1G, MS4A7, CD68, LINC01272, IFITM3, SPI1, NAP1L1",106
