Reviewed PBMC4k label,Activated/transitional T cells,B cells,CD16+ non-classical monocytes,Classical monocytes,Cytotoxic CD8 T cells,IL7R+ memory/helper T cells,NK cells,Naive/resting T cells,Platelets
Activated/transitional T cells,0.27906976744186046,0.09302325581395349,0.0,0.0,0.18604651162790697,12.186046511627907,0.0,87.25581395348837,0.0
B cells,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD16+ non-classical monocytes,0.0,0.9433962264150944,93.39622641509435,5.660377358490567,0.0,0.0,0.0,0.0,0.0
Classical monocytes,0.0,0.21668472372697722,0.21668472372697722,99.1332611050921,0.0,0.10834236186348861,0.0,0.0,0.3250270855904659
Cytotoxic CD8 T cells,0.3401360544217687,0.0,0.0,0.0,82.48299319727892,14.625850340136054,0.6802721088435374,1.870748299319728,0.0
IL7R+ memory/helper T cells,0.0,0.0,0.0,0.0,0.45454545454545453,97.5,0.0,2.0454545454545454,0.0
NK cells,0.0,0.0,0.0,0.0,18.784530386740332,0.5524861878453038,78.45303867403315,2.209944751381215,0.0
Naive/resting T cells,0.0,0.0,0.0,0.0,0.0,10.416666666666668,0.0,89.58333333333334,0.0
Platelets,,,,,,,,,
Dendritic cells,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
