,precision,recall,f1-score,support
Activated/transitional T cells,0.6,0.0027906976744186047,0.005555555555555556,1075.0
B cells,0.9932885906040269,1.0,0.9966329966329966,592.0
CD16+ non-classical monocytes,0.9801980198019802,0.9339622641509434,0.9565217391304348,106.0
Classical monocytes,0.993485342019544,0.991332611050921,0.9924078091106291,923.0
Cytotoxic CD8 T cells,0.9273422562141491,0.8248299319727891,0.873087308730873,588.0
IL7R+ memory/helper T cells,0.6422155688622755,0.975,0.7743682310469314,440.0
NK cells,0.9726027397260274,0.7845303867403315,0.8685015290519877,181.0
Naive/resting T cells,0.15167548500881833,0.8958333333333334,0.2594268476621418,192.0
Platelets,0.0,0.0,0.0,0.0
accuracy,0.6924578960214791,0.6924578960214791,0.6924578960214791,0.6924578960214791
macro avg,0.6956453335818691,0.7120310249914152,0.6362780018801723,4097.0
weighted avg,0.802277200972921,0.6924578960214791,0.6527871025359622,4097.0
