experiment,cell_type,precision,recall,f1,support
PBMC3k → PBMC4k,B cells,0.9899497487437185,0.9983108108108109,0.9941126997476871,592
PBMC3k → PBMC4k,CD16+ non-classical monocytes,0.9801980198019802,0.9339622641509434,0.9565217391304348,106
PBMC3k → PBMC4k,Classical monocytes,0.9945593035908596,0.9902491874322861,0.992399565689468,923
PBMC3k → PBMC4k,Cytotoxic T cells,0.9040590405904059,0.8333333333333334,0.8672566371681416,588
PBMC3k → PBMC4k,NK cells,0.952054794520548,0.7679558011049724,0.8501529051987767,181
PBMC3k → PBMC4k,Non-cytotoxic T cells,0.9469866071428571,0.994141769185706,0.969991426121749,1707
PBMC4k → PBMC3k,B cells,0.9970674486803519,0.9770114942528736,0.9869375907111756,348
PBMC4k → PBMC3k,CD16+ non-classical monocytes,0.9470588235294117,0.9415204678362573,0.9442815249266863,171
PBMC4k → PBMC3k,Classical monocytes,0.9800796812749004,0.9800796812749004,0.9800796812749004,502
PBMC4k → PBMC3k,Cytotoxic T cells,0.8269230769230769,0.7506234413965087,0.7869281045751634,401
PBMC4k → PBMC3k,NK cells,0.8791946308724832,0.8562091503267973,0.8675496688741722,153
PBMC4k → PBMC3k,Non-cytotoxic T cells,0.9207650273224044,0.9610266159695817,0.9404651162790698,1052
