,precision,recall,f1-score,support
Activated/transitional T cells,0.09221902017291066,0.5,0.15571776155717762,128.0
B cells,0.9970674486803519,0.9770114942528736,0.9869375907111756,348.0
CD16+ non-classical monocytes,0.9470588235294117,0.9415204678362573,0.9442815249266863,171.0
Classical monocytes,0.9800796812749004,0.9800796812749004,0.9800796812749004,502.0
Cytotoxic CD8 T cells,0.6813186813186813,0.9084249084249084,0.7786499215070644,273.0
Dendritic cells,0.0,0.0,0.0,0.0
IL7R+ memory/helper T cells,0.9507772020725389,0.6096345514950167,0.742914979757085,602.0
NK cells,0.8791946308724832,0.8562091503267973,0.8675496688741722,153.0
Naive/resting T cells,0.8888888888888888,0.035555555555555556,0.06837606837606838,450.0
accuracy,0.6924248191853826,0.6924248191853826,0.6924248191853826,0.6924248191853826
macro avg,0.7129560418677963,0.6453817565740344,0.6138341329982588,2627.0
weighted avg,0.8776609134821405,0.6924248191853826,0.7004830119152813,2627.0
