California LaborMarketInfo,7/8/2026,,,,
,,,,,
income in Calaveras County,,,,,
,,,,,
Area,Year,Period,Income Type,Income,Population
California,2023,Annual,Total Personal Income - BEA,"$3,166,135,354",39123861
California,2023,Annual,Per Capita Personal Income - BEA,"$81,255",39123861
Alameda County,2023,Annual,Total Personal Income - BEA,"$173,018,284",1644199
Alameda County,2023,Annual,Per Capita Personal Income - BEA,"$106,657",1644199
Alpine County,2023,Annual,Total Personal Income - BEA,"$86,026",1166
Alpine County,2023,Annual,Per Capita Personal Income - BEA,"$75,395",1166
Amador County,2023,Annual,Total Personal Income - BEA,"$2,091,404",40028
Amador County,2023,Annual,Per Capita Personal Income - BEA,"$50,020",40028
Butte County,2023,Annual,Total Personal Income - BEA,"$11,777,188",205741
Butte County,2023,Annual,Per Capita Personal Income - BEA,"$56,847",205741
Calaveras County,2023,Annual,Total Personal Income - BEA,"$2,720,575",44616
Calaveras County,2023,Annual,Per Capita Personal Income - BEA,"$58,425",44616
Colusa County,2023,Annual,Total Personal Income - BEA,"$1,284,825",21981
Colusa County,2023,Annual,Per Capita Personal Income - BEA,"$58,303",21981
Contra Costa County,2023,Annual,Total Personal Income - BEA,"$119,219,394",1148745
Contra Costa County,2023,Annual,Per Capita Personal Income - BEA,"$103,218",1148745
Del Norte County,2023,Annual,Total Personal Income - BEA,"$1,253,432",26320
Del Norte County,2023,Annual,Per Capita Personal Income - BEA,"$47,141",26320
El Dorado County,2023,Annual,Total Personal Income - BEA,"$16,248,484",189355
El Dorado County,2023,Annual,Per Capita Personal Income - BEA,"$84,533",189355
Fresno County,2023,Annual,Total Personal Income - BEA,"$53,633,038",1017152
Fresno County,2023,Annual,Per Capita Personal Income - BEA,"$52,728",1017152
Glenn County,2023,Annual,Total Personal Income - BEA,"$1,491,209",28596
Glenn County,2023,Annual,Per Capita Personal Income - BEA,"$53,013",28596
Humboldt County,2023,Annual,Total Personal Income - BEA,"$7,672,525",133968
Humboldt County,2023,Annual,Per Capita Personal Income - BEA,"$57,264",133968
Imperial County,2023,Annual,Total Personal Income - BEA,"$8,593,081",182090
